01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2021,Luxemburgo,,,,,,,71548.00
2021,Malta,,,,,,r,28172.00
2021,Polónia,,,,,,r,14106.00
2021,Portugal,,,,,,r,19851.00
2021,Roménia,,,,,,,13245.00
2021,Suécia,,,,,,r,47301.00
2022,Alemanha,,,,,,r,47731.00
2022,Áustria,,,,,,r,50741.00
2022,Bélgica,,,,,,r,53418.00
2022,Bulgária,,,,,,r,11880.00
2022,Chéquia,,,,,,r,21370.00
2022,Chipre,,,,,,r,25338.00
2022,Croácia,,,,,,r,18546.00
2022,Dinamarca,,,,,,r,65168.00
2022,Eslováquia,,,,,,r,17286.00
2022,Eslovénia,,,,,,r,30245.00
2022,Espanha,,,,,,r,30867.00
2022,Estónia,,,,,,r,22944.00
2022,Finlândia,,,,,,r,46621.00
2022,França,,,,,,r,40823.00
2022,Grécia,,,,,,r,16407.00
2022,Hungria,,,,,,r,14384.00
2022,Irlanda,,,,,,r,54312.00
2022,Itália,,,,,,r,31847.00
2022,Letónia,,,,,,r,19187.00
2022,Lituânia,,,,,,r,24294.00
2022,Luxemburgo,,,,,,,75409.00
2022,Malta,,,,,,r,29408.00
2022,Polónia,,,,,,r,15488.00
2022,Portugal,,,,,,r,21131.00
2022,Roménia,,,,,,r,15064.00
2022,Suécia,,,,,,r,46436.00
2023,Alemanha,,,,,,,50998.00
2023,Áustria,,,,,,,54508.00
2023,Bélgica,,,,,,,57989.00
2023,Bulgária,,,,,,,13503.00
2023,Chéquia,,,,,,,23454.00
2023,Chipre,,,,,,,26430.00
2023,Croácia,,,,,,,21523.00
2023,Dinamarca,,,,,,,67604.00
2023,Eslováquia,,,,,,,19001.00
2023,Eslovénia,,,,,,,33081.00
2023,Espanha,,,,,,,32587.00
2023,Estónia,,,,,,,24899.00
2023,Finlândia,,,,,,,48391.00
2023,França,,,,,,,42662.00
2023,Grécia,,,,,,,17013.00
2023,Hungria,,,,,,,16895.00
2023,Irlanda,,,,,,,58679.00
2023,Itália,,,,,,,32749.00
2023,Letónia,,,,,,,22293.00
2023,Lituânia,,,,,,,27178.00
2023,Luxemburgo,,,,,,,81064.00
2023,Malta,,,,,,,29989.00
2023,Polónia,,,,,,,18054.00
2023,Portugal,,,,,,,22933.00
2023,Roménia,,,,,,,17739.00
2023,Suécia,,,,,,,44619.00
,,,,,,,,
,Indicador: Salário médio anual ajustado a tempo inteiro,,,,,,,
,Ultima atualização: 07.11.2024 11:06:30,,,,,,,
,Fonte: Base de dados do Eurostat,,,,,,,
